Date,Open,High,Low,Close,Adj Close,Volume
"Jun 5, 2026",214.43,214.87,204.34,205.1,205.1,"215,650,478"
"Jun 4, 2026",0.25 Dividend,,,,,
"Jun 4, 2026",213.91,221.6,210.97,218.66,218.66,"169,022,200"
"Jun 3, 2026",221.72,222.82,214.51,214.75,214.5,"160,907,000"
"Jun 2, 2026",227.18,232.28,221.35,222.82,222.56,"193,362,900"
"Jun 1, 2026",215.73,224.87,215.7,224.36,224.1,"212,850,700"
"May 29, 2026",214.58,217.86,211.13,211.14,210.89,"289,410,600"
"May 28, 2026",211.28,215.52,211.22,214.25,214,"143,996,000"
"May 27, 2026",214.12,214.15,208.78,212.6,212.35,"167,601,200"
"May 26, 2026",216.54,218.18,212,214.86,214.61,"187,202,600"
"May 22, 2026",220.9,221.01,214.8,215.33,215.08,"169,275,700"
"May 21, 2026",222.29,227.4,217.93,219.51,219.25,"203,381,800"
"May 20, 2026",223.18,226.13,220.5,223.47,223.21,"184,201,600"
"May 19, 2026",219.62,224.48,217.91,220.61,220.35,"140,948,200"
"May 18, 2026",229.87,230,218.37,222.32,222.06,"146,280,900"
"May 15, 2026",229.76,231.5,224.24,225.32,225.06,"180,977,600"
"May 14, 2026",229.85,236.54,229.3,235.74,235.47,"180,782,900"
"May 13, 2026",224.93,227.84,221.57,225.83,225.57,"150,405,400"
"May 12, 2026",218.55,223.75,214.92,220.78,220.52,"159,176,600"
"May 11, 2026",214.04,222.3,213.89,219.44,219.18,"160,685,800"
"May 8, 2026",213.03,217.8,212.89,215.2,214.95,"136,421,400"
"May 7, 2026",208.34,214.2,206.5,211.5,211.25,"168,307,900"
"May 6, 2026",199.89,208.27,198.61,207.83,207.59,"188,362,800"
"May 5, 2026",199.3,200.24,196.03,196.5,196.27,"113,406,600"
"May 4, 2026",199.5,201.73,194.74,198.48,198.25,"125,368,100"
"May 1, 2026",201.28,203,197.12,198.45,198.22,"128,647,000"
"Apr 30, 2026",209.93,210.3,198.7,199.57,199.34,"225,239,200"
"Apr 29, 2026",212.7,212.72,207.58,209.25,209.01,"123,711,800"
"Apr 28, 2026",209.49,214.73,208.2,213.17,212.92,"180,275,400"
"Apr 27, 2026",209.65,216.83,207.38,216.61,216.36,"187,172,400"
"Apr 24, 2026",199.96,210.95,199.81,208.27,208.03,"214,134,400"
"Apr 23, 2026",202.46,203.83,197.22,199.64,199.41,"113,561,800"
"Apr 22, 2026",200.99,202.5,199,202.5,202.26,"107,501,000"
"Apr 21, 2026",202.13,202.75,199,199.88,199.65,"107,945,300"
"Apr 20, 2026",199.98,202.17,197.84,202.06,201.82,"119,381,400"
"Apr 17, 2026",199.9,201.7,199.27,201.68,201.45,"160,324,400"
"Apr 16, 2026",197.43,199.85,195.81,198.35,198.12,"134,012,900"
"Apr 15, 2026",196.54,200.4,195.74,198.87,198.64,"185,338,400"
"Apr 14, 2026",190.84,196.51,190.77,196.51,196.28,"161,307,000"
"Apr 13, 2026",186.03,189.66,185.74,189.31,189.09,"133,648,200"
"Apr 10, 2026",184.31,190,184.3,188.63,188.41,"160,459,500"
"Apr 9, 2026",181.84,184.08,180.62,183.91,183.7,"116,428,500"
"Apr 8, 2026",184.5,185.26,180.3,182.08,181.87,"147,732,700"
